Time,T,R,V
0.0,0.019092092477471748,-0.03919349427283641,0.13556607149741443
0.0025,0.022346191385346683,-0.0542320740107415,0.14576361670374463
0.005,0.023515902826474616,-0.06380922005538153,0.15093255672366188
0.0075,0.022415189098079522,-0.06740298517359594,0.15068948027152837
0.01,0.019027832313250944,-0.06508795395546844,0.14502172994847567
0.0125,0.013517818418217873,-0.05752158706662497,0.13428671968775435
0.015,0.0062232944385257226,-0.04587270336495825,0.119182788831553
0.0175,-0.0023660781143583845,-0.031698980645809574,0.10069418217143156
0.02,-0.011646902217950927,-0.016785374314466247,0.08001481347653149
0.0225,-0.020951930665359355,-0.002959239956738604,0.05845712508780791
0.025,-0.02960772953742693,0.008099680599563718,0.037353463932784235
0.0275,-0.03699487853724549,0.015035626964660148,0.01795786960389621
0.03,-0.04260504386829917,0.01696195632628485,0.0013559834370381017
0.0325,-0.046089380828817646,0.01356037643072586,-0.011610033214805957
0.035,-0.047293391078820086,0.005123963604674973,-0.020396056010945136
0.0375,-0.046274521504857835,-0.007460950576336569,-0.024786310978948244
0.04,-0.04330034591709147,-0.022793021930667214,-0.024897783476365
0.0425,-0.038826974980529366,-0.03908738820653748,-0.021159200816603375
0.045,-0.033459223912172466,-0.05434827158623927,-0.014267101940971963
0.0475,-0.02789585038528694,-0.06656639905410648,-0.0051232689273539266
0.05,-0.022864681780678804,-0.07392233260773169,0.005240859536224372
0.0525,-0.019053529766837805,-0.07497597646810616,0.015746345206149197
0.055,-0.017043328022024882,-0.06882359224939714,0.02534877445776513
0.0575,-0.017249862711278676,-0.05520652149388137,0.03311376332653632
0.06,-0.01987978917152713,-0.03456023131592362,0.038280398221972364
0.0625,-0.024905394839616946,-0.007997856841945868,0.040308338001570465
0.065,-0.032060885006048916,0.022771404607466864,0.038905874550163186
0.0675,-0.04086098681330695,0.0555824699714886,0.03403796941166391
0.07,-0.050640571551253996,0.08800086662658163,0.02591499388108299
0.0725,-0.06061198332007705,0.11753871728630857,0.014964446872638008
0.075,-0.06993502649195381,0.14188034077853914,0.0017891774035004864
0.0775,-0.0777932749095995,0.1590963957520252,-0.012883502166034509
