Time,T,R,V
0.0,-0.019099690606446184,0.010683030001001683,-0.06193931085533883
0.0025,-0.05048760863086058,-0.03690863247574196,-0.08498337654620296
0.005,-0.08167973137050336,-0.08229125360254982,-0.10520896328956375
0.0075,-0.1114609999806889,-0.12306157642930335,-0.12208994230971239
0.01,-0.1385795933565833,-0.1571057716742219,-0.13532732822420823
0.0125,-0.16183753989870425,-0.18274534903067946,-0.1448507782006665
0.015,-0.1801831259241829,-0.19885328033328056,-0.15080394667682487
0.0175,-0.19279690433262842,-0.2049310756401393,-0.15351574054506467
0.02,-0.19916340564123397,-0.20114046977069527,-0.15346050756835922
0.0225,-0.1991216990284048,-0.1882868689217525,-0.1512108877674419
0.025,-0.19288965832041566,-0.16775549390251257,-0.14738741785238693
0.0275,-0.18105900769949518,-0.14140492585043724,-0.1426089870340536
0.03,-0.16456075470550616,-0.11142619461096369,-0.13744791400594095
0.0325,-0.14460323238027611,-0.08017835466376012,-0.13239279315409977
0.035,-0.1225874265171331,-0.05001342303979146,-0.12782141033252095
0.0375,-0.1000063289007262,-0.023104434166124923,-0.12398503886943689
0.04,-0.0783365384906324,-0.0012901121721574382,-0.12100438767760438
0.0425,-0.05893108802703744,0.014051716879077471,-0.11887647846255024
0.045,-0.0429224284830962,0.02209224339754579,-0.1174908629500974
0.0475,-0.031143657206431797,0.022594803939414758,-0.11665292319347938
0.05,-0.024074501068131172,0.015910259136199444,-0.11611157658785852
0.0525,-0.02181640498554208,0.0029258390679859354,-0.11558855566917577
0.055,-0.02409852520332521,-0.015027459001458307,-0.11480654861598046
0.0575,-0.03031371870866527,-0.03630042036521857,-0.11351384244346709
0.06,-0.039581002956421515,-0.059072941174539574,-0.11150365887192887
0.0625,-0.05082867313647932,-0.08151027552735127,-0.10862704871571091
0.065,-0.06289051613220778,-0.10191477438250235,-0.10479894129847415
0.0675,-0.07460650929444732,-0.11886029249532373,-0.0999976561175394
0.07,-0.08491913116981906,-0.13129815600441666,-0.09425880564581628
0.0725,-0.0929569594941106,-0.1386262569020929,-0.08766499382405504
0.075,-0.09809853268777723,-0.140716229935987,-0.08033300481873078
0.0775,-0.10001137833121826,-0.1378974672100929,-0.07240026198789111
0.08,-0.09866348128206066,-0.1309005941245691,-0.06401222051244969
0.0825,-0.09430705049749898,-0.12076661994362044,-0.05531206244172763
0.085,-0.08743700352311211,-0.10873096569040881,-0.046433631374098616
0.0875,-0.07872888140900258,-0.0960936947854426,-0.03749803007319195
0.09,-0.06896272171132697,-0.08408834076953722,-0.02861376948847418
0.0925,-0.05894058727628436,-0.07376165091868794,-0.019879863879373124
0.095,-0.049405870114995254,-0.06587535862943988,-0.011390869993410244
0.0975,-0.04097213122023963,-0.06083887861895559,-0.0032426126785480465
0.1,-0.03406814158754281,-0.058678797350329354,0.004462747236661706
0.1025,-0.028904070015405785,-0.059047490029350794,0.011613555733938881
0.105,-0.025461591421754692,-0.061269465518060943,0.018088414143494384
0.1075,-0.02350827951400307,-0.06442046867098498,0.023759433776703736
0.11,-0.022634235148060892,-0.0674312875321485,0.028499110610861193
0.1125,-0.022306720692426514,-0.06920590596294318,0.03219041180389007
0.115,-0.02193683133956791,-0.06874232340627166,0.03473916848196755
0.1175,-0.02095110265340366,-0.06524415308385098,0.03608745574314958
0.12,-0.01886053582777473,-0.058212024905657356,0.03622636221368334
0.1225,-0.015319854290091226,-0.04750577161608652,0.03520644538169229
0.125,-0.010170850313990534,-0.0333711812499903,0.03314425525289372
0.1275,-0.0034653317017960318,-0.016428491292834628,0.030223587449283645
0.13,0.004534728989256,0.0023765393737770605,0.026690576975188184
0.1325,0.01337991475651966,0.021854560056787025,0.022842325869674527
0.135,0.02247669787324801,0.04067996745914471,0.01900941688935304
0.1375,0.031147030045501387,0.05751360335137224,0.01553333612796814
0.14,0.03869816604121924,0.07112924420173851,0.01274044116989145
0.1425,0.04449563140654096,0.08053188834768149,0.010914602089846572
0.145,0.04803188387385483,0.08505654746387002,0.010270954132231015
0.1475,0.048983599125794086,0.08443801515062437,0.010933292568708494
0.15,0.0472515985833944,0.07884475236436281,0.012917491420295517
0.1525,0.04297912439775151,0.06887334851156407,0.0161229404976559
0.155,0.03654629030657744,0.05550367839468351,0.020333394795786733
0.1575,0.028540888811693498,0.04001853660214859,0.02522786337956941
0.16,0.019708084643920903,0.023894849905047366,0.030401295863736896
0.1625,0.010883640622945504,0.00867623413879569,0.03539392985027353
0.165,0.00291699575581454,-0.004161574743878791,0.039727323876755
0.1675,-0.0034084198023959845,-0.013340190550423653,0.04294439691401553
0.17,-0.007449900183529215,-0.01789116097129248,0.04465029685485856
0.1725,-0.008767883619368548,-0.017241410348974688,0.044550679948270805
0.175,-0.0071698768865155835,-0.011263766751375337,0.04248403217521428
0.1775,-0.0027314248437255405,-0.0002879989947529231,0.03844500836515622
0.18,0.004208146255701942,0.014928590457293361,0.03259638527684978
