Time,T,R,V
0.0,0.020001151665571055,0.07743610616298764,-0.0554811879350512
0.0025,0.02019652665760421,0.06219699814001942,-0.044905159178452496
0.005,0.01911716685024033,0.0468530928201554,-0.03375952085920086
0.0075,0.016889629047778968,0.032230244229016734,-0.022454764183247884
0.01,0.013736675547144701,0.019016098228833614,-0.011351474012704265
0.0125,0.009949407005443566,0.007712203805395577,-0.0007476682419418221
0.015,0.005854692013995211,-0.001396848438034274,0.009127055188535774
0.0175,0.0017810310963586968,-0.008254624721235934,0.018110858003226284
0.02,-0.0019739410274032484,-0.013023452395889335,0.02610335416040577
0.0225,-0.005171331983973603,-0.016055315851088475,0.033054984933045595
0.025,-0.007651750294562553,-0.01784569760527819,0.03895372397422467
0.0275,-0.009347155193569783,-0.01897457695067201,0.043810907999891444
0.03,-0.0102828683206273,-0.02004000349768457,0.047647958595106565
0.0325,-0.01056975613391385,-0.021590398456437447,0.05048555946060282
0.035,-0.010387521977814645,-0.0240619270063876,0.0523365034494424
0.0375,-0.009960884459657425,-0.02772690312055184,0.05320296029416234
0.04,-0.009531088328156165,-0.032658257671958055,0.05307838416500184
0.0425,-0.009325634748653791,-0.03871369582656165,0.051953731217176155
0.045,-0.00952928970016636,-0.0455414094373102,0.04982714362065334
0.0475,-0.010259316369741586,-0.052607247796534314,0.046715827617509136
0.05,-0.011547489770438167,-0.05924126033325343,0.04266855082514449
0.0525,-0.013330824086469628,-0.0646996880545499,0.03777703897228894
0.055,-0.015452131957238026,-0.06823696654056093,0.032184581150296585
0.0575,-0.01767061330631078,-0.06918125569585375,0.026090356436941346
0.06,-0.019681722865743274,-0.06700653406316405,0.019748358365723345
0.0625,-0.02114467643949902,-0.06139444225396992,0.013460287202993438
0.065,-0.02171520738915466,-0.05227982923029898,0.007562360825610478
0.0675,-0.021080645699315607,-0.039875288637005096,0.002406611558780246
0.07,-0.01899411265048218,-0.024671759894444884,-0.0016621676930510718
0.0725,-0.015304631856542055,-0.00741435713341293,-0.004332145515659241
0.075,-0.009980253868442793,0.010945204650465718,-0.005350768502125407
0.0775,-0.0031218525352552768,0.02931608922257779,-0.004549376558391348
0.08,0.005033971051181743,0.046550371242798615,-0.0018637965466014941
0.0825,0.014123514328648109,0.06153285399822362,0.0026512225747815678
0.085,0.023675770883953378,0.07327106893397439,0.008815484658025514
0.0875,0.03314206586773366,0.08097767731911543,0.0163259205986252
0.09,0.04193332383516431,0.08413800572096912,0.02476875311644336
0.0925,0.04946207402282947,0.08255661038517123,0.03364096409575422
0.095,0.05518585112531333,0.076378487084497,0.04237997994952594
0.0975,0.05864848508781123,0.06608267721920798,0.05039974443326299
0.1,0.059515906272090614,0.052448383811357066,0.057130718951720116
0.1025,0.05760351156244435,0.036496095661265146,0.06206089641054199
0.105,0.052892806577601426,0.019408412998826893,0.06477468208632345
0.1075,0.045535901478119874,0.002437076599400802,0.06498651275504037
0.11,0.03584741874093146,-0.01319604004032631,0.06256636220808243
0.1125,0.024284386676732758,-0.026395626454953868,0.05755480447320795
0.115,0.011415655949573039,-0.03627910748911829,0.05016604146402413
0.1175,-0.002116793301774741,-0.04224493991410408,0.0407781962348245
