Time,T,R,V
0.0,-0.00794696553136784,0.024409137217187026,0.03727191882611345
0.0025,-0.03836874000190972,0.030596434299665708,0.03942581917183319
0.005,-0.06669492570958205,0.03526812365354952,0.0383798529549604
0.0075,-0.09117538493796672,0.03784310707799084,0.03436246373593681
0.01,-0.11034196059514326,0.037857017820887344,0.027814782560335122
0.0125,-0.12311274781683852,0.03501366196063169,0.01935148689689464
0.015,-0.12886634118916418,0.02922490201252113,0.009708483273359455
0.0175,-0.12748049498817615,0.020634620873839712,-0.000317941476487781
0.02,-0.11933249654372288,0.009623636772299209,-0.00993517562314032
0.0225,-0.10526162352910222,-0.003205972045908082,-0.018416017052732193
0.025,-0.08649708052346236,-0.01706686460415829,-0.02515284928155827
0.0275,-0.06455753855986227,-0.03104061777309642,-0.02969977532497671
0.03,-0.041130608850083836,-0.04414619301128333,-0.031799372960180386
0.0325,-0.017942088164519976,-0.05541731464678119,-0.031392169099751135
0.035,0.0033745021691653975,-0.0639823374985245,-0.02860852012657105
0.0375,0.021397749760922773,-0.06913967814628466,-0.023744183401054775
0.04,0.03501826066193439,-0.07042199218948557,-0.017222326665496
0.0425,0.043511140131708356,-0.06764301219902515,-0.009545913715022124
0.045,0.046575927680874374,-0.06092227299390762,-0.0012452187126764393
0.0475,0.04434164541072558,-0.0506847423962773,0.00717441472674145
0.05,0.03733754383752135,-0.037634499197499234,0.015279570897090746
0.0525,0.026432954070347583,-0.02270387290676393,0.02274610165803355
0.055,0.012752140820816651,-0.006981679836026978,0.029383389102828752
0.0575,-0.0024280097118466195,0.008373846062311967,0.03514342196962196
0.06,-0.017788397178819634,0.022230307101936263,0.0401140774867063
0.0625,-0.032076702645928566,0.03357653015246325,0.04449755040354607
0.065,-0.04420585175780081,0.04160980180371887,0.048576323855741066
0.0675,-0.053333987533974926,0.045807158466992376,0.05267029535080301
0.07,-0.05891981951136357,0.0459741421477716,0.05708954040178053
0.0725,-0.0607495319737837,0.04226625193033344,0.06208763374503423
0.075,-0.05893402985646649,0.03518060861456657,0.06782041166805838
0.0775,-0.05387794328783029,0.02551791109176265,0.0743145511873402
0.08,-0.04622426642899812,0.014317374516604909,0.08144940939659667
0.0825,-0.03678055896503146,0.002769769375132452,0.0889542960342067
0.085,-0.02643411369306015,-0.007884293926800698,0.0964218630226055
0.0875,-0.016064269529651218,-0.016462257422272385,0.10333672628544499
0.09,-0.0064600686060730834,-0.021944406393010787,0.10911693547991529
0.0925,0.0017492696187526161,-0.02356638711394107,0.11316461859638305
0.095,0.008144976655812035,-0.02089119960445783,0.11492117386169586
0.0975,0.012546306372645914,-0.013854077344760848,0.11392185363384157
0.1,0.015013156347009431,-0.0027759378054128567,0.1098445372359723
0.1025,0.015824244175148827,0.011656225489430686,0.1025479306914836
0.105,0.015433651236383735,0.02844076994191553,0.09209532430882633
0.1075,0.014410551704409406,0.04634061274095426,0.07876130491696876
0.11,0.013368466114976872,0.06398370753587312,0.0630203439711943
0.1125,0.01289128142725146,0.07997634312833946,0.04551782667440042
0.115,0.013463486543448625,0.09301961007068713,0.027025699636524243
0.1175,0.015411571958160392,0.10201901162428871,0.00838634630235755
0.12,0.01886238844864917,0.10617770653714775,-0.00955058296948611
0.1225,0.02372256648667641,0.10506522561634998,-0.02599296094388475
0.125,0.029681028567433994,0.09865558918419577,-0.04026695664580571
0.1275,0.03623437795720592,0.08733138874134141,-0.05186845226352464
0.13,0.04273273190442023,0.07185335303965643,-0.06050054788096537
0.1325,0.04844159322354224,0.05329793515353317,-0.0660937987834064
