Time,T,R,V
0.0,0.0029249408634200525,0.03618527886279495,-0.019352541280178735
0.0025,-0.0007141240498832539,0.013855498570056485,-0.0032812465069834845
0.005,-0.004214249870581911,-0.010235020101542827,0.013318780396328115
0.0075,-0.007403276615446637,-0.0348013474136031,0.029411110976278864
0.01,-0.010190083360611373,-0.05850609927277733,0.04398824285407408
0.0125,-0.012570629031709234,-0.08005212428834883,0.05614248323565654
0.015,-0.014623161470623662,-0.09827320005311525,0.06513027218088704
0.0175,-0.016493304531035733,-0.11221573633204933,0.07042491543604006
0.02,-0.01837079297516134,-0.12120514387096319,0.07175354259682422
0.0225,-0.020460497264615223,-0.12489170953383534,0.06911530256150834
0.025,-0.022950980457708568,-0.12327242639559967,0.06277926061861652
0.0275,-0.025984099668461377,-0.11668712970659474,0.05326205352563126
0.03,-0.029629079341396615,-0.10578932933482918,0.041286961134505536
0.0325,-0.033864051723754715,-0.0914941373296107,0.027727534033036762
0.035,-0.03856732348748681,-0.07490749893374764,0.01354015388667361
0.0375,-0.043519657805385185,-0.05724239662377771,-0.0003092062741760307
0.04,-0.048417752046256216,-0.039728688983536715,-0.012918285385788993
0.0425,-0.05289794983693862,-0.023523688622558766,-0.023516157099778567
0.045,-0.0565681631098519,-0.009630441818399902,-0.03151988330875469
0.0475,-0.059045098408951335,0.001170037529934442,-0.03657579220139081
0.05,-0.059993268846415614,0.008367542295889333,-0.03858221193203245
0.0525,-0.059161990391135365,0.011749032124146285,-0.03769198199545543
0.055,-0.05641663951876838,0.011401031342121106,-0.03429468693218265
0.0575,-0.051760885766280545,0.007688492716798295,-0.028980178290741544
0.06,-0.045347370888515384,0.0012124642284286624,-0.022486438585394515
0.0625,-0.03747531923072952,-0.007249420732063773,-0.01563607460908854
0.065,-0.02857474045094796,-0.01681429068549929,-0.00926660776038529
0.0675,-0.019178118737146418,-0.026571033573546735,-0.004160186600696167
0.07,-0.009881658905875834,-0.0356564434072566,-0.0009783475486692076
0.0725,-0.0012991702191742953,-0.04332425335713548,-0.00020699717515700318
0.075,0.005987581348568498,-0.049001552853891316,-0.002115924931622428
0.0775,0.011477804093917422,-0.052328293886646615,-0.006735952717530729
0.08,0.014795603400264843,-0.05317713475290939,-0.013855388760290865
0.0825,0.01572494481009787,-0.05165260908219466,-0.02303589731235951
