Time,T,R,V
0.0,0.01883883090566779,0.021427397491041836,0.03409148725092415
0.0025,0.02033934702156863,0.009873187776046325,0.0398439907011095
0.005,0.022395117593283474,-0.002745538643437072,0.04485340061881929
0.0075,0.025235256228115597,-0.015658403958147053,0.04911722002182386
0.01,0.029011734003817652,-0.028105929643468894,0.05261471823880561
0.0125,0.03377361645619739,-0.039384688709601566,0.055302485432825364
0.015,0.039450666394302975,-0.04888493228836544,0.05711570050454255
0.0175,0.045848144274733535,-0.05611854806306599,0.05797493781955857
0.02,0.05265362720407438,-0.06073617829072117,0.0577976785767515
0.0225,0.0594555738388598,-0.06253332996814011,0.05651313023081484
0.025,0.065772284000969,-0.06144625673365293,0.054078548535040905
0.0275,0.07108893584598135,-0.05753919852563891,0.05049504173880706
0.03,0.07489961693905949,-0.05098516471364465,0.04582083580584415
0.0325,0.07675076774394124,-0.04204279546577529,0.04018019236287895
0.035,0.07628227191041385,-0.031031916080715833,0.033766575580907156
0.0375,0.07326257444360326,-0.018310217734763604,0.02683921984752492
0.04,0.06761467400878984,-0.004253088022554105,0.01971290192825869
0.0425,0.059430578705740304,0.010761971056562045,0.012741405310555495
0.045,0.048972770597555976,0.02636559331380581,0.006295813731489796
0.0475,0.03666230949319041,0.04220144727272453,0.0007393222573326292
0.05,0.023054326313181404,0.05792644418635617,-0.003599345966692298
0.0525,0.008802713589181275,0.07320748121826658,-0.006451620147400235
0.055,-0.005383275920660012,0.08771634125108899,-0.007631564963369744
0.0575,-0.018787138999848175,0.10112455877838698,-0.007053087250415827
0.06,-0.030734171400086975,0.11310002656623984,-0.00474019637292343
0.0625,-0.04063762113708834,0.12330686784587473,-0.0008292147544328605
0.065,-0.04803836386383334,0.13140966312061492,0.004437492605845654
0.0675,-0.05263506858683866,0.1370825472273127,0.010725983044539252
0.07,-0.054302617749030425,0.14002304272044466,0.017632410227752807
0.0725,-0.05309751620867898,0.13996983906012506,0.024710304396927577
0.075,-0.04925008388038887,0.13672313326969537,0.03150137432056264
0.0775,-0.043144285373925395,0.13016568034922824,0.037567442312400896
0.08,-0.03528701722414769,0.12028241218571364,0.04252102281186972
0.0825,-0.026269469200805206,0.10717640618568448,0.04605216467055185
0.085,-0.016723737121946882,0.09107913309259508,0.047949486049457805
0.0875,-0.007278148688987423,0.07235327935331028,0.048113809961118914
0.09,0.0014852458148054794,0.051486993787950304,0.04656341478166987
0.0925,0.009067860604729132,0.029079103602274236,0.04343059397227728
0.095,0.015083827722772844,0.005815619326868016,0.03894991388331595
0.0975,0.019279447835181672,-0.017561367949886532,0.033439208934544024
0.1,0.021541839384429252,-0.04029057266840578,0.027274905908196836
0.1025,0.021896704565116096,-0.061631768963040984,0.020863679571231586
0.105,0.020496015413589114,-0.08090659363178676,0.014612679741646513
0.1075,0.01759720022499242,-0.09753690216555509,0.008900620283246632
0.11,0.013536016524504523,-0.11107775427208949,0.004051884896132135
0.1125,0.008695686319387136,-0.12124242561837648,0.00031550032317547696
0.115,0.003475017725212579,-0.12791738867594168,-0.0021496141812275696
0.1175,-0.0017418577855320715,-0.13116593549886774,-0.0032822499480012874
0.12,-0.006611821406571339,-0.13121997063313787,-0.003119078849901832
0.1225,-0.010853367270490149,-0.1284604134904843,-0.0017876875444311578
0.125,-0.014260289449112588,-0.1233875414053523,0.0005066934529633989
0.1275,-0.016707974936422978,-0.1165834032341201,0.0034994934075750894
0.13,-0.01815251645037355,-0.10866907203806347,0.006888545954970946
0.1325,-0.018623486886936724,-0.10025993030144832,0.01035750556276986
0.135,-0.01821172330083006,-0.09192235585792587,0.013599137738497772
0.1375,-0.01705381093316405,-0.08413508523054129,0.01633679745225408
0.14,-0.015315113003788731,-0.07725817914097712,0.018342646279813836
0.1425,-0.013173154771975008,-0.07151192941747088,0.019451490793630587
