Time,T,R,V
0.0,-0.01224102152597446,0.03467053298148107,0.05023085024009154
0.0025,0.01738300077471347,0.03381678521140493,0.04762532335503245
0.005,0.05009763408430443,0.025248004921294066,0.04581298875889896
0.0075,0.08402562175902678,0.010069277264692618,0.045184829826659535
0.01,0.11707523032580805,-0.009915910768707039,0.04593377260079695
0.0125,0.14710501354902297,-0.032388035008503284,0.04804851875973023
0.015,0.17209725357313826,-0.05474312372647356,0.0513272164993219
0.0175,0.19032485547209382,-0.07435101530581223,0.0554087194385645
0.02,0.20049698093633314,-0.088815355617634,0.05981762560485439
0.0225,0.20187054805773105,-0.0962104240109468,0.06401815040160938
0.025,0.19431772211646153,-0.0952722632611883,0.06747126401581044
0.0275,0.17834339695682933,-0.08552609989559351,0.06968945759811149
0.03,0.1550510600284729,-0.0673382320791785,0.07028398136785008
0.0325,0.12605994442939142,-0.04188783102971049,0.069000356780602
0.035,0.09338058974709211,-0.011061748665312015,0.06573929447589236
0.0375,0.059259482779773186,0.022717282209532126,0.060561707336015805
0.04,0.026006017526626214,0.056712420561380206,0.05367813284457765
0.0425,-0.004183617220547772,0.0881232124061243,0.04542440824569885
0.045,-0.029390950929710263,0.1143410028600366,0.03622672705921018
0.0475,-0.04811470115782316,0.13318519082816418,0.0265601260231549
0.05,-0.05937414405539131,0.1430982782994743,0.016904926918404097
0.0525,-0.06276864240738803,0.14328177428642516,0.007705654173919609
0.055,-0.05848951163487517,0.13376079341597635,-0.0006635180462007415
0.0575,-0.04728457420186572,0.11537207401844382,-0.00792360461708762
0.06,-0.030379790109932095,0.08967746174817182,-0.013903919232755212
0.0625,-0.009365896526279187,0.05881195717587629,-0.018542781504407923
0.065,0.013939263147436052,0.025281535681264976,-0.021876516190582472
0.0675,0.0376403174890913,-0.008269462428879347,-0.024018691405860413
0.07,0.05991287758300477,-0.039298931227212244,-0.025132549301439426
0.0725,0.07913860273096386,-0.06559268821292115,-0.025400242840232044
0.075,0.0940161219791453,-0.08545410071614667,-0.02499274248516122
0.0775,0.10363968322174824,-0.09784026158613902,-0.02404409715263892
0.08,0.1075406024462322,-0.10243272440438467,-0.02263315007934824
0.0825,0.10569010192704452,-0.09963730276531586,-0.020774889753627023
0.085,0.09846562381892707,-0.09051438855322272,-0.01842246085803912
0.0875,0.08658586270000165,-0.07664797151772675,-0.015479596146675373
0.09,0.07102229728336742,-0.05996739465077347,-0.011821993861295977
0.0925,0.0528967051762769,-0.04254029482329932,-0.007325089668889989
0.095,0.03337488816130332,-0.026357737933305106,-0.001894872935106481
0.0975,0.013566587062471911,-0.013133028469031634,0.0045020389300966645
0.1,-0.005559611735565157,-0.004134026553159133,0.011812878647925042
