Time,T,R,V
0.0,0.08840894981031305,-0.05338458148220494,0.01725738540637495
0.0025,0.08642307389966787,-0.03775232021040124,0.012672823959012005
0.005,0.08136641529231424,-0.016765865136453673,0.009991589736917382
0.0075,0.07313675235875328,0.008898778150705281,0.009767344175400674
0.01,0.06181405513237411,0.038125585052171264,0.012340449847511639
0.0125,0.047671249723891376,0.06943788497114955,0.017806419804433243
0.015,0.03117022719100106,0.1011076904643684,0.026001705903778784
0.0175,0.012942834871074562,0.1312860856095583,0.03650821931640574
0.02,-0.006242125752424609,0.15814410106377152,0.04867668951583607
0.0225,-0.025523663676887506,0.18001269848243553,0.06166764387199538
0.025,-0.04400187326897196,0.19551061520683996,0.07450752076649987
0.0275,-0.060795720509115324,0.20364986651787254,0.08615630562849307
0.03,-0.07510093321587415,0.20391057665750076,0.09558218405491534
0.0325,-0.08624355055392395,0.19627935255232618,0.10183810757737567
0.035,-0.09372502078482922,0.18124841238210507,0.10413491451391034
0.0375,-0.09725540815100973,0.15977588472835094,0.10190576606474178
0.04,-0.09677221830767517,0.13321083716012144,0.09485714590815122
0.0425,-0.0924434922570123,0.10318941640709163,0.08300250319089746
0.045,-0.08465505184234434,0.07151075453040376,0.06667574216345125
0.0475,-0.07398300037396636,0.04000283291628046,0.0465231031965381
0.05,-0.06115368847735938,0.010389177250365237,0.023473449055758613
0.0525,-0.04699425897400969,-0.01583296691586415,-0.001311534064699302
0.055,-0.03237751678060915,-0.037493429475701535,-0.026504293919310504
0.0575,-0.018165187178003833,-0.05382121129749958,-0.05069136305713346
0.06,-0.005153613509710597,-0.06448269880342043,-0.07246116905513175
0.0625,0.005974382738435917,-0.06958370228563926,-0.09049394187868821
0.065,0.014688360262683667,-0.06963605815360141,-0.10364771769757243
0.0675,0.020637532926415438,-0.06549246338647499,-0.11103461167033585
0.07,0.023665113700449766,-0.058255785634289216,-0.11208210995098647
0.0725,0.023809385569885783,-0.049171101571269804,-0.1065750777390223
0.075,0.02129213013481088,-0.03950999646095518,-0.09467543342558082
0.0775,0.016495907419369158,-0.0304571104482358,-0.07691791438173362
0.08,0.009932370547189151,-0.023008514582893744,-0.05418195688122804
0.0825,0.002204272755265848,-0.017890288181180523,-0.02764132090106522
0.085,-0.006035940169716408,-0.015503763845320984,0.0013054015985615329
0.0875,-0.014128061020509751,-0.015901480574756963,0.03111895414528922
0.09,-0.02144390327646461,-0.018795155003906928,0.060212813092856705
0.0925,-0.027422657712701748,-0.02359418568713729,0.08704973175060324
0.095,-0.03160006977229487,-0.02947058803142712,0.11023512421481696
0.0975,-0.03363027570875424,-0.0354440420939897,0.12860118733721826
0.1,-0.033299738198312424,-0.040479108478026674,0.14127628057088257
0.1025,-0.030533282994667316,-0.04358576187840933,0.14773507758746848
0.105,-0.02539271460002384,-0.04391427572389012,0.14782630149305617
0.1075,-0.018068851747286712,-0.0408361631522296,0.14177636689020465
0.11,-0.008868058929433945,-0.03400426845811395,0.13016887185454815
0.1125,0.0018055402238621673,-0.023387076210576407,0.11390149871764495
0.115,0.013470983116425358,-0.009274679647854273,0.09412338265490457
0.1175,0.025593423613079605,0.0077435902759701355,0.07215728834697117
0.12,0.03760816382392412,0.026827358455998342,0.049411910166668585
0.1225,0.04894496194326472,0.04695445713391296,0.027290215174550263
0.125,0.05905196252623677,0.06700468665092905,0.0070999419032891945
0.1275,0.06741870595725796,0.08585036952559687,-0.010027858237103808
0.13,0.07359773320490466,0.10244552727316758,-0.023206976251981485
0.1325,0.07722430685463345,0.1159057982132101,-0.03184661526244437
0.135,0.07803372786613505,0.12557221055806156,-0.03568135089757478
0.1375,0.07587565754601511,0.1310535287754921,-0.03477890640725902
0.14,0.07072478121150466,0.1322439492200182,-0.029525700123359734
0.1425,0.06268710293012819,0.12931524044710851,-0.020591634210456813
0.145,0.05200116793336556,0.12268478978343621,-0.008876977465939767
0.1475,0.03903359432793759,0.11296321372772646,0.004554643557276333
0.15,0.02426847341871864,0.10088701615133423,0.018552269390896006
0.1525,0.008290471671854552,0.0872430710302146,0.03195726674903886
0.155,-0.00823817257146765,0.07279235164557939,0.043681118954647935
